"FVH","sexo","edad","horas_tnr","ingreso_mensual","nivel_pobreza","etnia","afrod","discapacidad","zona","entidad","region","escolaridad","est_dis","upm","factor"
"10001180114","Hombre",24,24,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,11,207
"10001180115","Hombre",12,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,11,207
"10001200111","Mujer",35,38,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,12,191
"10001200113","Mujer",14,10,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,12,191
"10001200412","Mujer",43,0,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Licenciatura",1,12,191
"10001200413","Hombre",21,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,12,191
"10001200414","Mujer",18,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,12,191
"10001200415","Hombre",13,5,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,12,191
"10001200512","Mujer",32,72,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,12,191
"10001200513","Mujer",14,6,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,12,191
"10001200612","Mujer",56,83,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,12,191
"10001380411","Hombre",39,20,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",3,13,183
"10001380512","Hombre",14,7,3934,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",3,13,183
"10001420213","Mujer",17,24,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,14,203
"10001420214","Mujer",13,24,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,14,203
"10001420312","Mujer",27,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,14,203
"10001420313","Hombre",12,14,6132,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,14,203
"10001420612","Mujer",28,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,14,203
"10001540312","Mujer",55,84,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,15,204
"10001540314","Hombre",29,0,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Primaria",2,15,204
"10001660114","Mujer",16,2,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,16,196
"10001660513","Mujer",16,7,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,16,196
"10001780112","Mujer",14,49,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",2,17,214
"10001780313","Hombre",25,0,0,"Pobreza por Ingresos Extrema","No","No","Si","Urbana","Aguascalientes","Centro","Preparatoria",2,17,214
"10001780314","Mujer",13,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,17,214
"10001780412","Mujer",33,40,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,17,214
"10001830212","Mujer",58,15,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,18,204
"10001830213","Hombre",32,84,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,18,204
"10001830412","Mujer",55,50,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,18,204
"10001830512","Mujer",46,70,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,18,204
"10001830513","Mujer",23,20,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,18,204
"10001830514","Mujer",17,10,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,18,204
"10001830611","Mujer",45,60,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,18,204
"10001830613","Hombre",18,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,18,204
"10001830614","Hombre",17,8,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,18,204
"10001950112","Mujer",43,15,571,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,19,195
"10001950113","Mujer",19,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",1,19,195
"10001950413","Hombre",16,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,19,195
"10001950414","Mujer",13,10,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,19,195
"10001950512","Mujer",38,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,19,195
"10001950513","Mujer",15,9,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,19,195
"10001950614","Mujer",16,10,880,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,19,195
"10002070211","Hombre",60,20,9836,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Primaria",1,20,210
"10002070212","Mujer",57,20,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,20,210
"10002070412","Mujer",47,60,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,20,210
"10002070414","Hombre",23,14,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",1,20,210
"10002070512","Mujer",50,21,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,20,210
"10002070514","Mujer",16,9,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,20,210
"10002190412","Mujer",29,105,0,"Pobreza por Ingresos Extrema","Si","No","No","Urbana","Aguascalientes","Centro","Licenciatura",1,21,223
"10002220114","Mujer",30,84,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,22,205
"10002220212","Mujer",17,18,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,22,205
"10002220311","Hombre",55,17,3264,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,22,205
"10002220314","Hombre",18,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",1,22,205
"10002220412","Mujer",50,30,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,22,205
"10002220415","Mujer",20,72,2769,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",1,22,205
"10002300111","Mujer",46,28,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,23,212
"10002300412","Mujer",31,70,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,23,212
"10002300413","Hombre",14,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,23,212
"10002300511","Hombre",27,48,2935,"Pobreza por Ingresos","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,23,212
"10002430312","Mujer",35,77,1712,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Preparatoria",2,24,203
"10002430613","Hombre",15,0,0,"Pobreza por Ingresos Extrema","No","No","No","Urbana","Aguascalientes","Centro","Secundaria",2,24,203
"10002550311","Hombre",64,0,7826,"No Pobreza","No","No","No","Urbana","Aguascalientes","Centro","Licenciatura",2,25,171
