folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,antiguedad,antigua_ne,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,uso_compar,sanit_agua,biodigest,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,focos,focos_ahor,combus,fogon_chi,eli_basura,tenencia,renta,estim_pago,pago_viv,pago_mesp,tipo_adqui,viv_usada,finan_1,finan_2,finan_3,finan_4,finan_5,finan_6,finan_7,finan_8,num_dueno1,hog_dueno1,num_dueno2,hog_dueno2,escrituras,lavadero,fregadero,regadera,tinaco_azo,cisterna,pileta,calent_sol,calent_gas,calen_lena,medid_luz,bomba_agua,tanque_gas,aire_acond,calefacc,p_grietas,p_pandeos,p_levanta,p_humedad,p_fractura,p_electric,p_tuberias,tot_resid,tot_hom,tot_muj,tot_hog,ubica_geo,tam_loc,est_socio,est_dis,upm,factor,procaptar
0100004203,1,8,10,3,10,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,13,11,3,,3,3, ,4000,4000,1,2,,1,,,,,,,,01,1,,,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,1,01001,1,4,003,0000004,220,0
0100004204,1,8,10,3,6,,1,2,4,5,1,1,1,,1,1,2,1,2,2,1,0,1,1,14,14,3,,3,4, ,10000, ,,3,,,,,,,,,8,01,1,,,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,4,003,0000004,220,0
0100004206,1,8,10,3,1,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,14,10,3,,3,1,7500, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,4,003,0000004,220,0
0100005601,1,8,10,3, ,1,1,2,1,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,5000,2800,1,1,1,1,,,,5,,,,01,1,,,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,4,003,0000005,182,0
0100005602,1,8,10,3,15,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,1,1,1,15,15,3,,3,3, ,5000,2500,1,1,2,1,,,,5,,,,01,1,,,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,0,3,1,01001,1,4,003,0000005,182,0
0100005603,1,8,10,3,10,,1,2,1,4,1,1,1,,1,1,2,1,2,1,1,0,1,1,12,12,3,,3,3, ,7500,6000,1,1,1,1,,,,5,,,,02,1,,,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,3,1,2,1,01001,1,4,003,0000005,182,0
0100005604,1,8,10,3,15,,1,2,2,5,1,1,1,,1,1,2,1,2,1,1,0,1,1,13,13,3,,3,4, ,5000, ,,1,2,,,,,,,,8,01,1,,,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,01001,1,4,003,0000005,182,0
0100005605,1,8,10,3,11,,1,2,3,5,1,1,1,,1,1,2,1,2,1,1,0,1,1,12,12,3,,3,4, ,5000, ,,1,2,1,,,,5,,,,02,1,,,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,5,2,3,1,01001,1,4,003,0000005,182,0
0100005606,1,8,10,3,15,,1,2,3,4,1,1,1,,1,1,2,1,2,1,1,0,1,1,15,10,3,,3,4, ,3000, ,,1,2,,,,,5,,,,02,1,,,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,6,5,1,1,01001,1,4,003,0000005,182,0
0100006401,1,8,10,3,13,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,17,17,3,,3,3, ,7000,4500,1,1,2,1,,,,,,,,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,5,4,1,1,01001,1,4,003,0000006,193,0
0100006402,1,8,10,3,12,,1,2,3,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,6000,4000,1,1,2,,2,,,,,,,01,1,,,3,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,4,003,0000006,193,0
0100006403,1,8,10,3,12,,1,2,3,5,1,1,1,,2,1,2,1,2,2,0,0,1,1,16,16,3,,3,4, ,6000, ,,1,2,1,,,,5,,,,01,1,02,1,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,5,4,1,1,01001,1,4,003,0000006,193,0
0100006404,1,8,10,3,12,,1,2,3,6,1,1,1,,1,1,2,1,2,1,1,0,1,1,12,12,4,,3,3, ,9000,7000,1,1,2,,2,,,,,,,01,1,,,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,4,003,0000006,193,0
0100006405,1,8,10,3,17,,1,2,2,3,1,1,1,,2,1,2,1,2,2,0,0,1,1,8,8,3,,3,3, ,4000,4000,1,1,2,,2,,,,,,,02,1,,,3,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,4,003,0000006,193,0
0100006406,1,8,10,3,13,,1,2,2,5,1,1,1,,1,1,2,1,2,2,0,0,1,1,16,16,3,,3,4, ,6000, ,,1,1,,,,,,,,8,01,1,,,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,4,003,0000006,193,0
0100007201,1,8,10,3,1,,1,2,3,6,1,1,1,,1,1,2,1,2,2,0,0,1,1,10,10,3,,3,1,5000, , ,1,,,,,,,,,,,,,,,,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,1,3,1,01001,1,3,001,0000007,215,0
0100007202,1,8,10,3,34,,1,2,2,5,1,1,1,,1,1,2,1,2,2,0,0,1,1,14,14,3,,3,2, ,7000, ,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,0,1,1,01001,1,3,001,0000007,215,0
0100007203,1,8,10,3,1,,1,2,3,5,1,1,1,,1,1,2,1,2,2,0,0,1,1,30,30,3,,3,4, ,6000, ,,1,1,,,,,5,,,,01,1,,,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,3,001,0000007,215,0
0100007204,1,8,10,3,1,,1,2,4,6,1,1,1,,1,1,2,1,2,2,0,0,1,1,18,18,3,,3,4, ,7000, ,,1,1,,,,,,,,8,01,1,,,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,3,001,0000007,215,0
0100007205,1,8,10,3,34,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,5,3,3,,3,4, ,4000, ,,1,2,,,,,5,,,,01,1,,,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,0,1,1,01001,1,3,001,0000007,215,0
0100007206,1,8,10,3,1,,1,2,3,6,1,1,1,,1,1,2,1,2,3,0,0,1,1,12,12,3,,3,4, ,4000, ,,1,1,,,,,,,,8,02,1,,,4,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,3,001,0000007,215,0
0100008401,1,8,10,3,40,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,2,3,,3,4, ,4500, ,,2,,,,,,,,,8,01,1,,,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,01001,1,3,001,0000008,218,0
0100008402,1,8,10,3,30,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,8,8,3,,3,3, ,3000,2400,1,1,1,1,,,,,,,,01,1,02,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,3,001,0000008,218,0
0100008403,1,8,10,3,32,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,10,10,3,,3,4, ,5000, ,,1,2,,,,,5,,,,02,1,,,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,01001,1,3,001,0000008,218,0
0100008404,1,8,10,3,10,,1,2,1,2,1,1,1,,1,1,2,1,2,1,0,0,1,1,6,6,3,,3,3, ,5000,3500,2,1,1,,,,,,,,&,01,1,,,3,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,3,001,0000008,218,0
0100008405,1,8,10,3,35,,1,2,3,5,1,1,1,,1,1,2,1,2,1,1,0,1,1,18,8,3,,3,4, ,2500, ,,1,1,,2,,,,,,,01,1,,,3,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,2,1,01001,1,3,001,0000008,218,0
0100008406,1,8,10,2,40,,1,2,2,4,1,1,1,,1,1,2,1,2,1,0,0,1,1,4,4,3,,3,4, ,1500, ,,1,1,,,,,,,,8,01,1,,,3,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,0,1,01001,1,3,001,0000008,218,0
0100009601,1,8,10,2,35,,1,2,2,3,1,1,1,,2,1,2,1,2,1,0,0,1,1,8,8,4,,3,2, ,1000, ,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,01001,1,3,001,0000009,180,0
0100009602,1,8,10,3,32,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,7,7,3,,3,2, ,4000, ,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,5,2,3,1,01001,1,3,001,0000009,180,0
0100009603,1,8,10,3,35,,1,2,2,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,10,10,3,,3,1,4000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,4,3,1,1,01001,1,3,001,0000009,180,0
0100009604,1,8,10,3,30,,1,2,4,5,1,1,1,,1,1,2,1,2,1,0,0,1,1,9,9,3,,3,4, ,2800, ,,1,1,,,,,,,,8,02,1,,,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,3,001,0000009,180,0
0100009605,1,8,10,3,25,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,6,6,3,,3,4, ,1500, ,,1,1,1,,,,,,,,02,1,,,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,3,001,0000009,180,0
0100009606,1,8,10,3,30,,1,2,3,4,1,1,1,,1,1,2,1,2,2,0,0,1,1,12,12,3,,3,1,4000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,5,4,1,1,01001,1,3,001,0000009,180,0
0100010901,1,8,10,3, ,1,1,2,3,4,1,1,1,,2,1,1,1,2,1,0,0,1,1,6,6,3,,3,1,4000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,01001,1,2,002,0000010,194,0
0100010902,1,8,10,3,20,,1,2,2,3,1,1,1,,2,1,2,1,2,1,0,0,1,1,7,7,3,,3,1,1500, , ,1,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,5,3,2,1,01001,1,2,002,0000010,194,0
0100010903,1,8,10,3,23,,1,2,3,7,1,1,1,,1,1,2,1,2,2,0,0,1,1,9,9,3,,3,4, ,4000, ,,3,,,,,,,,,8,02,1,,,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,2,1,01001,1,2,002,0000010,194,0
0100010904,1,8,10,3,23,,1,2,2,3,1,1,1,,1,1,2,1,2,1,0,0,1,1,4,4,3,,3,1,2000, , ,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,3,0,3,1,01001,1,2,002,0000010,194,0
